Session,Frame,Time [s],Knee Angle R,Knee Angle L,TSSearch Segmentation,Stride LFoot Motion Capture,Stride RFoot Motion Capture,Stride LFoot Depth,Stride RFoot Depth,LFoot Speed,RFoot Speed
1,0,0.0,6.319430095291239,6.525006174942547,0.0,0.0,0.0,0.0,0.0,0.011133538518940646,0.00190547930940248
1,1,0.03,6.308755116993325,6.536945778527922,0.0,0.0,0.0,0.0,0.0,0.007456812139682179,0.001550952317201778
1,2,0.07,6.31166460057446,6.544268224960092,0.0,0.0,0.0,0.0,0.0,0.00419920489724292,0.0012774044117842224
1,3,0.1,6.31596693491332,6.530792296303304,0.0,0.0,0.0,0.0,0.0,0.0019530245538818694,0.0011320066765179236
1,4,0.13,6.307898385293015,6.515636353153866,0.0,0.0,0.0,0.0,0.0,0.000988383903267607,0.0010825559032413053
1,5,0.17,6.296694754094204,6.468743229555372,0.0,0.0,0.0,0.0,0.0,0.0010397049204116445,0.0010144865590933103
1,6,0.2,6.292511647183375,6.426560667497853,0.0,0.0,0.0,0.0,0.0,0.0017138153215719768,0.0008064327421814718
1,7,0.23,6.294561811877912,6.403076185898897,1.0,0.0,0.0,0.0,0.0,0.002787773890134093,0.0004693962006878367
1,8,0.27,6.29237404262426,6.416419895511979,0.0,0.0,0.0,0.0,0.0,0.003962748617074305,0.00025613331415178886
1,9,0.3,6.302702953229016,6.441033216912388,0.0,0.0,0.0,0.0,0.0,0.004588057644778609,0.0006398081311394553
1,10,0.33,6.323251888733523,6.441153107700359,0.0,0.0,0.0,0.0,0.0,0.00431826768584817,0.0021785938280550923
1,11,0.37,6.344669677104406,6.453395534565317,0.0,0.0,0.0,0.0,0.0,0.003870147882791812,0.0052807900901869565
1,12,0.4,6.369073212019998,6.539774242350831,0.0,0.0,0.0,0.0,0.0,0.0043835345930505944,0.009832225743441588
1,13,0.43,6.453406658902509,6.763796422962116,0.0,0.0,0.0,0.0,0.0,0.0062074608382964415,0.014771755535642285
1,14,0.47,6.523105549885258,7.268892078834739,0.0,0.0,0.0,0.0,0.0,0.008508815162487736,0.018214367280360563
1,15,0.5,6.571292141985481,7.925972835848171,0.0,0.0,0.0,0.0,0.0,0.010075105134192073,0.018725966537154786
1,16,0.53,6.622135742077859,8.393689942873863,0.0,0.0,0.0,0.0,0.0,0.010598988993244969,0.01651560659847575
1,17,0.57,6.619996932528409,8.727163044985957,0.0,0.0,0.0,0.0,0.0,0.010720948794868209,0.01275528062892573
1,18,0.6,6.584460255908169,9.122615525779793,0.0,0.0,0.0,0.0,0.0,0.010944244948428779,0.008223089130246386
1,19,0.63,6.509979968539682,9.514134763818303,0.0,0.0,0.0,0.0,0.0,0.011198265457109908,0.0034696072127709016
1,20,0.67,6.336968657041439,9.850773040856382,0.0,0.0,0.0,0.0,0.0,0.011234467705833336,-7.05441390363513e-05
1,21,0.7,6.171310593750803,10.246153537757351,0.0,0.0,0.0,0.0,0.0,0.011033681909568245,0.0006811726574977895
1,22,0.73,6.063915122947293,10.643004445853393,0.0,0.0,0.0,0.0,0.0,0.010800642383817251,0.011224885478888337
1,23,0.77,6.624975081684568,11.025204013960746,0.0,0.0,0.0,0.0,0.0,0.010733002249662633,0.03955844707671949
1,24,0.8,8.497341195884047,11.277723088260956,0.0,0.0,0.0,0.0,0.0,0.010974029657294078,0.09296572075501432
1,25,0.83,11.747567668459167,11.451272906882537,0.0,0.0,0.0,0.0,0.0,0.011446696979915582,0.17224881045757345
1,26,0.87,15.8168843457955,11.473890244271844,0.0,0.0,0.0,0.0,0.0,0.011638061421215134,0.26899774356835576
1,27,0.9,20.70398793827391,11.326279280510704,0.0,0.0,0.0,0.0,0.0,0.011053852703921462,0.3700300956074976
1,28,0.93,25.51461337560096,11.053869127961974,0.0,0.0,0.0,0.0,0.0,0.009865875013357688,0.46737226169755003
1,29,0.97,30.152395541187587,10.667986009198302,0.0,0.0,0.0,0.0,0.0,0.00875541895696169,0.5668226754245831
1,30,1.0,33.68297702247514,10.22284849840338,0.0,0.0,0.0,0.0,0.0,0.008294258296834922,0.6856842127496805
1,31,1.03,34.970969567673365,9.79672343501963,0.0,0.0,0.0,0.0,0.0,0.008585287220271975,0.8381510971976183
1,32,1.07,33.80239780338528,9.409420281759909,0.0,0.0,0.0,0.0,0.0,0.009277042903634028,1.0198532932970599
1,33,1.1,30.727385052376235,9.057631851745356,0.0,0.0,0.0,0.0,0.0,0.009944089656993003,1.2041005970436998
1,34,1.13,25.91859199569956,8.794312505187008,0.0,0.0,0.0,0.0,0.0,0.010538878186530145,1.3515503951791306
1,35,1.17,20.16706546249634,8.666523824699539,0.0,0.0,0.0,0.0,0.0,0.011666334781835286,1.424707727623454
1,36,1.2,14.315765553318016,8.79733127161876,0.0,0.0,0.0,0.0,0.0,0.014624016135205052,1.3986713081562463
1,37,1.23,9.756881192706288,8.966762592322482,0.0,0.0,0.0,0.0,0.0,0.020975682551979045,1.2680290422925635
1,38,1.27,8.008604619325183,9.284448333681553,0.0,0.0,0.0,1.0,0.0,0.0318980521577437,1.0521175301243257
1,39,1.3,8.468188077521063,9.677938714818223,0.0,0.0,0.0,0.0,0.0,0.04779838107464178,0.7937215161283606
1,40,1.33,8.94522965347224,10.266181690843638,0.0,0.0,0.0,0.0,0.0,0.06867350417364537,0.5453636497658301
1,41,1.37,8.92683137572729,11.14645040079634,0.0,0.0,0.0,0.0,0.0,0.09615995332251773,0.34847707661228144
1,42,1.4,8.785236348136891,12.103884914719115,0.0,0.0,0.0,0.0,0.0,0.13691520874545213,0.21953172549835215
1,43,1.43,8.980636980552532,13.04234326354532,0.0,0.0,0.0,0.0,0.0,0.20331112288678646,0.15150671428649742
1,44,1.47,9.250096445590003,14.489016709262527,0.0,0.0,0.0,0.0,0.0,0.3082444248753008,0.12486513384193076
1,45,1.5,9.27937704996154,16.46769671977688,0.0,0.0,0.0,0.0,0.0,0.45757215970714116,0.11780377696884882
1,46,1.53,9.1208916385757,19.936850241828807,1.0,0.0,0.0,0.0,0.0,0.6450077118969331,0.11259368885542267
1,47,1.57,9.070134004857522,25.40078861142794,0.0,0.0,0.0,0.0,0.0,0.8509800556105844,0.09896679920988859
1,48,1.6,8.638906336387151,33.05221459872084,0.0,0.0,0.0,0.0,0.0,1.049360016192739,0.07563444197457525
1,49,1.63,8.813805158584472,41.49543098998544,0.0,0.0,0.0,0.0,0.0,1.223183389115002,0.04882840138680988
1,50,1.67,9.03393202433756,48.28098205641061,0.0,0.0,0.0,0.0,0.0,1.3754873381142323,0.026655992229855624
1,51,1.7,9.05284896762501,52.02978752550938,0.0,0.0,0.0,0.0,0.0,1.5220295308584166,0.01379276696341768
1,52,1.73,8.833363704001528,53.029402417455046,0.0,0.0,1.0,0.0,1.0,1.6750133015244044,0.010562579927567347
1,53,1.77,8.44560366793371,51.481823190468646,0.0,0.0,0.0,0.0,0.0,1.8335316322890487,0.014500972296588796
1,54,1.8,8.21362301427601,48.22021702808146,0.0,0.0,0.0,0.0,0.0,1.983605381419302,0.022261585439489136
1,55,1.83,8.148907992610134,43.40037010507993,0.0,0.0,0.0,0.0,0.0,2.1047522721323118,0.031393207360172384
1,56,1.87,8.276359662766197,37.68550733702713,0.0,0.0,0.0,0.0,0.0,2.178425566519951,0.040878186674531615
1,57,1.9,8.639215924583084,31.234353431334625,0.0,0.0,0.0,0.0,0.0,2.1919907443053046,0.050182313159208375
1,58,1.93,8.983563132194405,24.574219213657955,0.0,0.0,0.0,0.0,0.0,2.136803620608057,0.05853266168487565
1,59,1.97,9.471139017529367,17.84140906900845,0.0,0.0,0.0,0.0,0.0,2.0043188030034425,0.06533253632320145
1,60,2.0,10.00771169174564,11.54374174559956,0.0,0.0,0.0,0.0,0.0,1.7868941148035373,0.07100784648179556
1,61,2.03,10.42192217481275,6.563411229580822,0.0,0.0,0.0,0.0,0.0,1.4878475141305347,0.07780197151698787
1,62,2.07,10.813370946687058,3.855685775733377,0.0,0.0,0.0,0.0,0.0,1.1340683809111085,0.09065637216279629
1,63,2.1,11.271388423256523,3.518218911343098,0.0,0.0,0.0,0.0,0.0,0.777857453720177,0.11848073522365904
1,64,2.13,11.79326786474553,4.355425191444397,0.0,0.0,0.0,0.0,0.0,0.4798451551925307,0.1756968055850633
1,65,2.17,12.465216866989806,4.925340680331772,0.0,0.0,0.0,0.0,0.0,0.277936220003173,0.28134539647374956
1,66,2.2,14.00020887093308,5.201382839725028,0.0,0.0,0.0,0.0,0.0,0.16839036850615244,0.4510732470680652
1,67,2.23,17.047432515322214,5.980276922610841,0.0,0.0,0.0,0.0,0.0,0.11991764138196342,0.682653931621207
1,68,2.27,22.471813680720828,7.278015398102184,0.0,0.0,0.0,0.0,0.0,0.09993780021813482,0.9451228777355337
1,69,2.3,29.80103010907723,7.750060092043782,0.0,0.0,0.0,0.0,0.0,0.08618331710600714,1.1853845247761046
1,70,2.33,38.52581308921268,8.647377287549148,0.0,0.0,0.0,0.0,0.0,0.0686503087662634,1.355937691428176
1,71,2.37,46.799269584662426,10.108986217957948,1.0,0.0,0.0,0.0,0.0,0.048668402089159575,1.4471686071680483
1,72,2.4,52.75680353120454,11.15277716839151,0.0,0.0,0.0,0.0,0.0,0.03221405173433615,1.4968504894019767
1,73,2.43,54.89316524396067,11.02919017075672,0.0,0.0,0.0,0.0,0.0,0.022873689766942564,1.5628215572868636
1,74,2.47,53.7240269609471,10.461337619294,0.0,1.0,0.0,0.0,0.0,0.020922225801024128,1.680687536065762
1,75,2.5,49.62026161474296,9.83910675114862,0.0,0.0,0.0,0.0,0.0,0.024870902939705807,1.8450550942282051
1,76,2.53,43.11351005742094,9.39337347617922,0.0,0.0,0.0,1.0,0.0,0.030792678645140938,2.0218476440536843
1,77,2.57,35.4403695894778,9.357770081182023,0.0,0.0,0.0,0.0,0.0,0.03324926944283685,2.16958220129372
1,78,2.6,26.365326744907293,9.697413399190085,0.0,0.0,0.0,0.0,0.0,0.03045126492310165,2.2510301131559385
1,79,2.63,17.10214812289371,10.297097403988944,0.0,0.0,0.0,0.0,0.0,0.026411081675022516,2.2333937176524206
1,80,2.67,9.508085054372655,10.812834022784417,0.0,0.0,0.0,0.0,0.0,0.026215127636204247,2.0893929996883394
1,81,2.7,6.572379208748657,11.956360871780475,0.0,0.0,0.0,0.0,0.0,0.03175161594017296,1.8109344031263657
1,82,2.73,8.18360843521927,13.616344149901607,0.0,0.0,0.0,0.0,0.0,0.04246991708697447,1.4296733944251923
1,83,2.77,8.036756835400496,14.045826569020193,0.0,0.0,0.0,0.0,0.0,0.05881066433875416,1.0198558991375968
1,84,2.8,7.155054631704161,15.24150070952615,0.0,0.0,0.0,0.0,0.0,0.08726271814238289,0.6651223303410516
1,85,2.83,6.9280317007326175,16.02328344945485,0.0,0.0,0.0,0.0,0.0,0.14354023211319605,0.4119136535969621
1,86,2.87,6.703971516706815,17.38253015338813,0.0,0.0,0.0,0.0,0.0,0.24763456480402443,0.2541692788883834
1,87,2.9,7.523302493471107,19.74963674277421,0.0,0.0,0.0,0.0,0.0,0.4111241787987537,0.1586305445931806
1,88,2.93,7.772443645215418,22.5355214692454,0.0,0.0,0.0,0.0,0.0,0.6245883179602612,0.09784374990638049
1,89,2.97,8.080054777508536,29.31604618544509,0.0,0.0,0.0,0.0,0.0,0.8557604017470344,0.060305707669135504
1,90,3.0,8.14351125318575,34.96255754987561,0.0,0.0,0.0,0.0,0.0,1.0635512817999435,0.04146843841732933
1,91,3.03,8.424752007310644,43.4921876047805,0.0,0.0,1.0,0.0,0.0,1.2223961668249916,0.0373738289134537
1,92,3.07,8.707390759911192,49.80060365637891,0.0,0.0,0.0,0.0,0.0,1.3401930332495005,0.04494146961190763
1,93,3.1,8.846237045675991,52.48686663938852,0.0,0.0,0.0,0.0,0.0,1.4489335292682488,0.059725686852598846
1,94,3.13,8.666094472693231,52.83979670958988,0.0,0.0,0.0,0.0,0.0,1.5732461834240548,0.07316882318767957
1,95,3.17,8.50700603477975,50.65632945669714,0.0,0.0,0.0,0.0,0.0,1.7098036089600483,0.07670470066656354
1,96,3.2,8.44738322438775,46.81925766658662,0.0,0.0,0.0,0.0,1.0,1.8333795079580688,0.06903046154944209
1,97,3.23,8.722459048366062,41.34884378991214,0.0,0.0,0.0,0.0,0.0,1.9178628978410246,0.0570264572439288
1,98,3.27,9.313932868981624,35.394655729461505,0.0,0.0,0.0,0.0,0.0,1.9521961045171552,0.04949924266603523
1,99,3.3,9.902637892230189,29.43371150521233,0.0,0.0,0.0,0.0,0.0,1.93372091171424,0.050426332187290784
1,100,3.33,10.396460879081587,23.00607083397045,0.0,0.0,0.0,0.0,0.0,1.8510245010380126,0.057684565465089876
1,101,3.37,10.526056384141071,16.769504657052153,0.0,0.0,0.0,0.0,0.0,1.6871682234412875,0.0675224416005146
1,102,3.4,10.941488667379758,11.706858090010684,0.0,0.0,0.0,0.0,0.0,1.4378308223243403,0.07832111311145025
1,103,3.43,11.077311955829543,6.890361388432154,0.0,0.0,0.0,0.0,0.0,1.1212284180499037,0.09066003869313777
1,104,3.47,11.407095268574778,4.597349130289615,0.0,0.0,0.0,0.0,0.0,0.7808827775593143,0.10754800254667315
1,105,3.5,11.880394571467916,4.749332342777251,0.0,0.0,0.0,0.0,0.0,0.4784050316508599,0.13685747866452525
1,106,3.53,11.939347384558488,5.919345833712526,0.0,0.0,0.0,1.0,0.0,0.26566565292069233,0.1937969680698399
1,107,3.57,12.80782230257853,6.232817634544148,0.0,0.0,0.0,0.0,0.0,0.15468639616309998,0.29880920865021027
1,108,3.6,15.023248305498411,7.284839157791367,0.0,0.0,0.0,0.0,0.0,0.11727145941851033,0.466742861131617
1,109,3.63,18.908840818877053,7.04189589487774,0.0,0.0,0.0,0.0,0.0,0.11376073553196143,0.6900681173467621
1,110,3.67,25.053982720671456,7.261352588846421,0.0,0.0,0.0,0.0,0.0,0.11884037005944154,0.9303871864084258
1,111,3.7,32.88068040657683,6.88601037667533,0.0,0.0,0.0,0.0,0.0,0.12582226278526934,1.1364279767980516
1,112,3.73,41.48430123901497,8.070985507139909,0.0,0.0,0.0,0.0,0.0,0.1377357235903637,1.2820286568016719
1,113,3.77,48.53297687064406,9.79436132615561,1.0,0.0,0.0,0.0,0.0,0.1564680316564605,1.3838041915699355
1,114,3.8,50.80247120918693,10.934376698687714,0.0,0.0,0.0,0.0,0.0,0.17402575196608144,1.4778444377444346
1,115,3.83,50.18937609337792,11.46405131107332,0.0,0.0,0.0,0.0,0.0,0.1727252753833186,1.5865564225945648
1,116,3.87,47.13583205947299,11.869629178560103,0.0,0.0,0.0,0.0,0.0,0.14326384557763933,1.70739133391079
1,117,3.9,42.2451640681102,11.780084879288635,0.0,0.0,0.0,0.0,0.0,0.09910726659937762,1.821820722660093
1,118,3.93,36.60358226067285,11.485471484225483,0.0,0.0,0.0,0.0,0.0,0.06210473498171832,1.9112450044817861
1,119,3.97,30.63477319793094,12.189494123568068,0.0,0.0,0.0,0.0,0.0,0.043524598643725695,1.9676795301599257
1,120,4.0,24.5689748945554,11.770354007847317,0.0,0.0,0.0,0.0,0.0,0.04156248160984332,1.9930969714320406
1,121,4.03,15.203695792296344,12.142018484045307,0.0,0.0,0.0,0.0,1.0,0.045844504777195524,1.9916143609175163
1,122,4.07,8.321514045876256,12.991137935689636,0.0,0.0,0.0,0.0,0.0,0.045956693418196484,1.962124566894441
1,123,4.1,4.002112069744811,13.090139318118958,0.0,0.0,0.0,0.0,0.0,0.040657476469475054,1.8985307534575895
1,124,4.13,1.3780685704691962,12.75739640250373,0.0,1.0,0.0,0.0,0.0,0.03680295384574952,1.796178619862632
1,125,4.17,5.608298627124185,13.680969166225909,0.0,0.0,0.0,0.0,0.0,0.03997924720075772,1.6540755617842242
1,126,4.2,4.860232736553627,15.125120576763834,0.0,0.0,0.0,0.0,0.0,0.05002713501373918,1.4721415522846093
1,127,4.23,4.706942835253557,16.110009216661524,0.0,0.0,0.0,0.0,0.0,0.0633707271545811,1.2524119853518263
1,128,4.27,5.521676003436141,17.294237830601332,0.0,0.0,0.0,0.0,0.0,0.07592864871872833,1.0064937160481398
1,129,4.3,5.4341208138622505,18.55471012131204,0.0,0.0,0.0,0.0,0.0,0.08551388723536034,0.7598781342118659
1,130,4.33,5.370505774851722,19.93965208872933,0.0,0.0,0.0,0.0,0.0,0.09381537378522666,0.5427369780500308
1,131,4.37,5.134147633615839,20.850242554394896,0.0,0.0,0.0,0.0,0.0,0.10879635979449179,0.3747727216848189
1,132,4.4,5.725547772072844,21.359063634272445,0.0,0.0,0.0,0.0,0.0,0.1452574826576659,0.2601710042389753
1,133,4.43,6.027745454115916,22.92953789493035,0.0,0.0,0.0,0.0,0.0,0.2172163281450083,0.19178754579527152
1,134,4.47,6.675360215971807,25.16039915466402,0.0,0.0,0.0,0.0,0.0,0.3276679931487373,0.15452947293148842
1,135,4.5,7.646243832199048,29.533638046596508,0.0,0.0,0.0,0.0,0.0,0.4641050379419018,0.12938847876359172
1,136,4.53,8.412565858525198,34.36842068362128,0.0,0.0,0.0,0.0,0.0,0.6006278222590218,0.10432049709429599
1,137,4.57,9.17117894885979,39.95124220640702,0.0,0.0,0.0,0.0,0.0,0.7119833116053522,0.08215557376440731
1,138,4.6,9.619792471510491,45.7422154497971,0.0,0.0,1.0,0.0,0.0,0.7891322846212424,0.07223437732491368
1,139,4.63,9.731970733949195,50.214559522466885,0.0,0.0,0.0,0.0,0.0,0.8352291131772062,0.07620562193337993
1,140,4.67,9.795819548864555,53.574023831064565,0.0,0.0,0.0,0.0,0.0,0.8554346956901455,0.0856576634300162
1,141,4.7,9.696108965154991,54.69690731030147,0.0,0.0,0.0,0.0,0.0,0.8617851648163571,0.09059165258240034
1,142,4.73,9.260295490759262,53.60108867017496,0.0,0.0,0.0,0.0,0.0,0.8785119750202892,0.08845973336316676
1,143,4.77,9.099195142308249,51.12231145121814,0.0,0.0,0.0,0.0,0.0,0.9310197661219698,0.08539895000042527
1,144,4.8,9.10058871573915,47.15460020060039,0.0,0.0,0.0,0.0,0.0,1.0285923905949148,0.08703898714814771
1,145,4.83,8.62413699476275,42.27272256634837,0.0,0.0,0.0,0.0,0.0,1.1560356529754514,0.09034618241142926
1,146,4.87,8.503765013314847,36.27971877444111,0.0,0.0,0.0,0.0,0.0,1.2805766351351209,0.08941117390292191
1,147,4.9,8.1320738406217,29.534112063545336,0.0,0.0,0.0,0.0,0.0,1.3669810887182559,0.08570349365012558
1,148,4.93,7.814333403452082,22.314195384777804,0.0,0.0,0.0,0.0,0.0,1.385704864502643,0.08565004010522148
1,149,4.97,8.244791817998731,15.522430502510872,0.0,0.0,0.0,0.0,0.0,1.3157230644418294,0.09062116508417288
1,150,5.0,7.978947786016874,9.944070028499452,0.0,0.0,0.0,0.0,0.0,1.1525079804115452,0.09482760302282099
1,151,5.03,8.578952195511732,5.73149309747987,0.0,0.0,0.0,0.0,0.0,0.916679057383735,0.09336279479810322
1,152,5.07,8.719806739916521,4.320553753010017,0.0,0.0,0.0,0.0,0.0,0.6532138141811182,0.0905121381580781
1,153,5.1,8.678192266779433,4.662205280451957,0.0,0.0,0.0,0.0,1.0,0.41705220603504806,0.10035581268683323
1,154,5.13,9.07748309750778,5.1935913166610135,0.0,0.0,0.0,0.0,0.0,0.24711325187313868,0.14156349655529105
1,155,5.17,9.285880840803143,4.550657139859226,0.0,0.0,0.0,0.0,0.0,0.14686828821006118,0.2299165152682542
1,156,5.2,10.53853024608108,4.808673165940917,0.0,0.0,0.0,0.0,0.0,0.09426735320115355,0.36993146677194216
1,157,5.23,14.678784570036612,5.300150648546889,0.0,0.0,0.0,0.0,0.0,0.06741153680223523,0.5492225366395994
1,158,5.27,19.41661736615612,5.890518813857511,0.0,0.0,0.0,0.0,0.0,0.05456538270686981,0.7387177197030013
1,159,5.3,26.65852712922737,5.444030790644007,0.0,0.0,0.0,0.0,0.0,0.04988276092912757,0.9033112039987843
1,160,5.33,33.52347435343762,5.834614418861264,0.0,0.0,0.0,0.0,0.0,0.04925680017190113,1.0255017252492231
1,161,5.37,39.51019423278007,6.066845576991028,0.0,0.0,0.0,0.0,0.0,0.048463058350655945,1.1198136649060249
1,162,5.4,43.73409976101874,5.781473290623325,0.0,0.0,0.0,0.0,0.0,0.04473264118185772,1.214688327930838
1,163,5.43,45.08738319999173,4.946805372996408,1.0,0.0,0.0,0.0,0.0,0.03934836832358648,1.326165651270356
1,164,5.47,44.55251510510311,4.937619604185102,0.0,1.0,0.0,0.0,0.0,0.03655182940896916,1.4542508859625563
1,165,5.5,43.0637762296771,5.113786360512279,0.0,0.0,0.0,0.0,0.0,0.03999027523519593,1.5917946675582297
1,166,5.53,40.64403467873561,5.221549496634935,0.0,0.0,0.0,0.0,0.0,0.04933510466368584,1.7298440269500275
1,167,5.57,37.4539695066573,5.760936758109835,0.0,0.0,0.0,0.0,0.0,0.06000238979224895,1.859738461388678
1,168,5.6,33.15317368672456,6.318813797734066,0.0,0.0,0.0,1.0,0.0,0.06719768854863276,1.9729733560908727
1,169,5.63,27.365118780213948,7.1566397675583175,0.0,0.0,0.0,0.0,0.0,0.06951941203725781,2.0580431221814033
1,170,5.67,22.513772984679093,8.099992335699085,0.0,0.0,0.0,0.0,0.0,0.0685221375454712,2.0975238309624453
1,171,5.7,16.404285763631663,8.891172117685386,0.0,0.0,0.0,0.0,0.0,0.06652539139382042,2.0700675473422363
1,172,5.73,11.100024101637246,9.866881327586128,0.0,0.0,0.0,0.0,0.0,0.06507388889739464,1.9579914595977563
1,173,5.77,8.135581481687268,10.685215321588544,0.0,0.0,0.0,0.0,0.0,0.06467364281823701,1.756964278401279
1,174,5.8,7.356830923606935,12.199283377366186,0.0,0.0,0.0,0.0,0.0,0.06600593172321169,1.4823922762336128
1,175,5.83,8.198136031495608,13.562320014307431,0.0,0.0,0.0,0.0,0.0,0.07205083631726168,1.168201050036678
1,176,5.87,8.105113102810122,14.821116660647364,0.0,0.0,0.0,0.0,0.0,0.0914638218780995,0.8578524789765108
1,177,5.9,8.056958133628939,16.094370431246574,0.0,0.0,0.0,0.0,0.0,0.14276435999638648,0.5911620407258258
1,178,5.93,8.232188667818178,17.47878295699593,0.0,0.0,0.0,0.0,0.0,0.2533150013612553,0.3914620342451839
1,179,5.97,8.21089286897086,19.92637849708896,0.0,0.0,0.0,0.0,0.0,0.44478485232040044,0.26003210013011
1,180,6.0,8.653283077743481,24.486174356787103,0.0,0.0,0.0,0.0,0.0,0.7084118777816686,0.18275556938821033
1,181,6.03,9.027406522602831,30.83641796331005,0.0,0.0,0.0,0.0,0.0,0.9947778006973116,0.13994476277416396
1,182,6.07,9.614133363576371,38.63430691722607,0.0,0.0,0.0,0.0,0.0,1.2412658608647664,0.11170596207054073
1,183,6.1,10.410368089121391,46.84826672613033,0.0,0.0,0.0,0.0,0.0,1.4183633924926573,0.08546148594224785
1,184,6.13,11.3764971875772,53.24860584026749,0.0,0.0,0.0,0.0,0.0,1.5466713871365527,0.060587192535358554
1,185,6.17,11.5711311013834,55.85053671805426,0.0,0.0,0.0,0.0,0.0,1.669934121239599,0.04108792231343814
1,186,6.2,11.37109656337475,55.50286696180963,0.0,0.0,0.0,0.0,0.0,1.8178332294559445,0.028211538102314023
1,187,6.23,11.048233098125706,52.53248615189179,0.0,0.0,0.0,0.0,0.0,1.9906931834680717,0.02152243036069436
1,188,6.27,10.53709352256334,47.84780026990279,0.0,0.0,1.0,0.0,0.0,2.1663500630183337,0.020928908186224865
1,189,6.3,9.888969579774797,40.9494123076239,0.0,0.0,0.0,0.0,0.0,2.313061568970412,0.025965726599296447
1,190,6.33,9.650402486583232,32.95947391207039,0.0,0.0,0.0,0.0,0.0,2.397888973900632,0.034913601780361875
1,191,6.37,9.751075137983406,24.386668070558017,0.0,0.0,0.0,0.0,0.0,2.3902009675318068,0.04523962908812527
1,192,6.4,9.97787228070314,15.6426352153656,0.0,0.0,0.0,0.0,0.0,2.2637209888016354,0.05527496633515876
1,193,6.43,10.51763534082275,8.089750765686745,0.0,0.0,0.0,0.0,0.0,2.003314688053479,0.06590340904907674
1,194,6.47,10.756501475776616,2.947361973891105,0.0,0.0,0.0,0.0,0.0,1.6216416811871632,0.08141816089698266
1,195,6.5,11.327129918529325,2.6214922398217766,0.0,0.0,0.0,0.0,1.0,1.1761348263987328,0.11013820233624509
1,196,6.53,11.8645826563654,3.041697148805952,0.0,0.0,0.0,0.0,0.0,0.7595227990548943,0.16529709840594337
1,197,6.57,12.943097328473216,5.047198657546716,0.0,0.0,0.0,0.0,0.0,0.45194709726085514,0.2645565479169548
1,198,6.6,14.620240117188018,5.849861761354049,0.0,0.0,0.0,0.0,0.0,0.27192736676786,0.4238704593881306
1,199,6.63,17.791338944011812,5.914694653070171,0.0,0.0,0.0,0.0,0.0,0.17909981060905258,0.6440340434804946
1,200,6.67,22.500666025991336,7.087260090430704,0.0,0.0,0.0,0.0,0.0,0.12393405737128074,0.8982902597059271
1,201,6.7,29.64620010834693,9.23510057092068,0.0,0.0,0.0,0.0,0.0,0.08323470800810487,1.1374774883314813
1,202,6.73,37.54851538406055,10.254994660087362,0.0,0.0,0.0,0.0,0.0,0.053211554740422155,1.3200900588971294
1,203,6.77,45.70977201560194,10.981750131657291,0.0,0.0,0.0,0.0,0.0,0.032675153062633716,1.4439715128458357
1,204,6.8,50.90235812004153,11.738925485289258,1.0,0.0,0.0,0.0,0.0,0.01944618214135582,1.544358544507656
1,205,6.83,52.44601404067633,11.679898955796318,0.0,0.0,0.0,0.0,0.0,0.011813637873337814,1.6619712188803577
1,206,6.87,50.87036356934394,10.630986320438067,0.0,1.0,0.0,0.0,0.0,0.008808357064934096,1.8151572270667495
1,207,6.9,47.10472013282055,9.694160051404282,0.0,0.0,0.0,0.0,0.0,0.00994139542618617,1.9925775154087213
1,208,6.93,41.024007910183,9.047887995174165,0.0,0.0,0.0,0.0,0.0,0.014415114131368607,2.162832773471255
1,209,6.97,33.58243281346728,8.573939315333718,0.0,0.0,0.0,0.0,0.0,0.020411408655978423,2.290198127075636
1,210,7.0,25.30264762695841,8.54293679591882,0.0,0.0,0.0,0.0,0.0,0.026107740358125287,2.3430885808468083
1,211,7.03,17.150719785315886,8.859852039753548,0.0,0.0,0.0,0.0,0.0,0.03108460868632397,2.2929529440159673
1,212,7.07,10.27104009459731,9.642383506484691,0.0,0.0,0.0,0.0,0.0,0.03578952014212526,2.1158069004902207
