LFoot,RFoot
0.011133538518940646,0.00190547930940248
0.007456812139682179,0.001550952317201778
0.00419920489724292,0.0012774044117842224
0.0019530245538818694,0.0011320066765179236
0.000988383903267607,0.0010825559032413053
0.0010397049204116445,0.0010144865590933103
0.0017138153215719768,0.0008064327421814718
0.002787773890134093,0.0004693962006878367
0.003962748617074305,0.00025613331415178886
0.004588057644778609,0.0006398081311394553
0.00431826768584817,0.0021785938280550923
0.003870147882791812,0.0052807900901869565
0.0043835345930505944,0.009832225743441588
0.0062074608382964415,0.014771755535642285
0.008508815162487736,0.018214367280360563
0.010075105134192073,0.018725966537154786
0.010598988993244969,0.01651560659847575
0.010720948794868209,0.01275528062892573
0.010944244948428779,0.008223089130246386
0.011198265457109908,0.0034696072127709016
0.011234467705833336,-7.05441390363513e-05
0.011033681909568245,0.0006811726574977895
0.010800642383817251,0.011224885478888337
0.010733002249662633,0.03955844707671949
0.010974029657294078,0.09296572075501432
0.011446696979915582,0.17224881045757345
0.011638061421215134,0.26899774356835576
0.011053852703921462,0.3700300956074976
0.009865875013357688,0.46737226169755003
0.00875541895696169,0.5668226754245831
0.008294258296834922,0.6856842127496805
0.008585287220271975,0.8381510971976183
0.009277042903634028,1.0198532932970599
0.009944089656993003,1.2041005970436998
0.010538878186530145,1.3515503951791306
0.011666334781835286,1.424707727623454
0.014624016135205052,1.3986713081562463
0.020975682551979045,1.2680290422925635
0.0318980521577437,1.0521175301243257
0.04779838107464178,0.7937215161283606
0.06867350417364537,0.5453636497658301
0.09615995332251773,0.34847707661228144
0.13691520874545213,0.21953172549835215
0.20331112288678646,0.15150671428649742
0.3082444248753008,0.12486513384193076
0.45757215970714116,0.11780377696884882
0.6450077118969331,0.11259368885542267
0.8509800556105844,0.09896679920988859
1.049360016192739,0.07563444197457525
1.223183389115002,0.04882840138680988
1.3754873381142323,0.026655992229855624
1.5220295308584166,0.01379276696341768
1.6750133015244044,0.010562579927567347
1.8335316322890487,0.014500972296588796
1.983605381419302,0.022261585439489136
2.1047522721323118,0.031393207360172384
