timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-04-13T11:36:09,codecarbon,dee90223-3017-40bc-98f1-1965d7dfa101,56.00875115394592,0.0004450217929706,7.945576071629334e-06,62.5,0.0,11.72215747833252,0.000972367376089,0.0,0.0001823666536072,0.0011547340296963,Germany,DEU,,,,Linux-5.15.0-100-generic-x86_64-with-glibc2.31,3.10.14,2.3.5,16.0,Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz,,,,,31.25908660888672,machine,N,1.0
2024-04-13T11:51:36,codecarbon,cc1028b0-05e6-4750-8001-640e66106156,61.825671672821045,0.0019203224731073,3.1060276761239385e-05,42.5,187.5189517991715,94.33266592025755,0.000729881478846,0.0026331937731356,0.001619740742007,0.0049828159939887,Germany,DEU,,,,Linux-5.4.0-135-generic-x86_64-with-glibc2.31,3.10.13,2.3.5,48.0,Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,1.0,1 x NVIDIA GeForce RTX 2080 Ti,,,251.55377578735352,machine,N,1.0
2024-04-13T11:54:04,codecarbon,d01b8735-8ca9-44a9-8044-df70884f629c,13.872315168380736,0.000277901175257,2.0032789904487072e-05,42.5,50.35323832857976,94.33266592025755,0.000163757189446,0.0001939901552532,0.0003633453052129,0.0007210926499121,Germany,DEU,,,,Linux-5.4.0-135-generic-x86_64-with-glibc2.31,3.10.13,2.3.5,48.0,Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,1.0,1 x NVIDIA GeForce RTX 2080 Ti,,,251.55377578735352,machine,N,1.0
2024-04-13T11:55:58,codecarbon,b38b45dd-f9d0-46a1-8bbd-6e5966f0ded4,60.17827224731445,0.0018975031430178,3.15313662582356e-05,42.5,106.7815263363286,94.33266592025755,0.0007103235229849,0.0026374848878276,0.0015757964222725,0.0049236048330852,Germany,DEU,,,,Linux-5.4.0-135-generic-x86_64-with-glibc2.31,3.10.13,2.3.5,48.0,Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,1.0,1 x NVIDIA GeForce RTX 2080 Ti,,,251.55377578735352,machine,N,1.0
2024-04-13T14:48:09,codecarbon,8683582b-f17f-46f2-b6f1-86362bff8225,40165.97266769409,2.310472981262261,5.752314279496083e-05,95.0,268.56481637179365,94.40559768676758,1.0599208565824536,3.889485709364181,1.0457644982567,5.99517106420334,Germany,DEU,,,,Linux-5.15.0-67-generic-x86_64-with-glibc2.35,3.10.14,2.3.5,64.0,AMD EPYC 7343 16-Core Processor,3.0,3 x NVIDIA RTX A6000,,,251.74826049804688,machine,N,1.0
2024-04-14T02:08:12,codecarbon,d45ba7af-5e5e-4a94-acbe-c69cc27b6c82,40784.40975737572,2.077700568556524,5.094349975681037e-05,95.0,248.68496566681208,94.40559768676758,1.0762472460379224,3.253257968437538,1.0616724490191711,5.391177663494609,Germany,DEU,,,,Linux-5.15.0-67-generic-x86_64-with-glibc2.35,3.10.14,2.3.5,64.0,AMD EPYC 7343 16-Core Processor,3.0,3 x NVIDIA RTX A6000,,,251.74826049804688,machine,N,1.0
2024-04-14T15:06:19,codecarbon,98723dff-b66b-460f-b79e-463ecce88ccd,46667.60052371025,1.8200057989595373,3.899934383887711e-05,95.0,238.96562120231297,94.40559768676758,1.2314819201591936,2.2755065512369583,1.2155277367974668,4.722516208193636,Germany,DEU,,,,Linux-5.15.0-67-generic-x86_64-with-glibc2.35,3.10.14,2.3.5,64.0,AMD EPYC 7343 16-Core Processor,3.0,3 x NVIDIA RTX A6000,,,251.74826049804688,machine,N,1.0
2024-04-15T04:54:22,codecarbon,f055cc3a-a16e-4a38-8143-956fc3a66cab,260.0661268234253,0.0087943941241022,3.381599223059639e-05,95.0,136.78386781833572,94.40559768676758,0.0068627878291739,0.0091571114924136,0.0067996262074292,0.0228195255290167,Germany,DEU,,,,Linux-5.15.0-67-generic-x86_64-with-glibc2.35,3.10.14,2.3.5,64.0,AMD EPYC 7343 16-Core Processor,3.0,3 x NVIDIA RTX A6000,,,251.74826049804688,machine,N,1.0
2024-04-15T04:59:46,codecarbon,610180fb-e925-4a7d-ae84-6e13d833cb15,314.24503922462463,0.0119072167876871,3.7891502812796384e-05,95.0,188.6678269301847,94.40559768676758,0.0082925283557838,0.0144110595840629,0.0081930302503121,0.0308966181901589,Germany,DEU,,,,Linux-5.15.0-67-generic-x86_64-with-glibc2.35,3.10.14,2.3.5,64.0,AMD EPYC 7343 16-Core Processor,3.0,3 x NVIDIA RTX A6000,,,251.74826049804688,machine,N,1.0
2024-04-15T05:04:33,codecarbon,eb591ea7-fd2e-4726-89f4-d623300c5b34,277.4709885120392,0.0091151946836738,3.285098284528703e-05,95.0,135.51292814930866,94.40559768676758,0.007322099161148,0.0091129989568798,0.0072168345621311,0.023651932680159,Germany,DEU,,,,Linux-5.15.0-67-generic-x86_64-with-glibc2.35,3.10.14,2.3.5,64.0,AMD EPYC 7343 16-Core Processor,3.0,3 x NVIDIA RTX A6000,,,251.74826049804688,machine,N,1.0
2024-04-15T05:12:58,codecarbon,dac2ec45-c3bf-46a5-a12c-bdee6105192c,495.3782479763031,0.0245783798923866,4.961537974828955e-05,95.0,0.0,94.40559768676758,0.0130723891076114,0.0374148863206755,0.0132882342317879,0.0637755096600749,Germany,DEU,,,,Linux-5.15.0-67-generic-x86_64-with-glibc2.35,3.10.14,2.3.5,64.0,AMD EPYC 7343 16-Core Processor,3.0,3 x NVIDIA RTX A6000,,,251.74826049804688,machine,N,1.0
2024-04-15T05:18:53,codecarbon,873f2731-666c-4069-a2aa-14b9774358f0,347.9182822704315,0.0116005591441351,3.3342769653933454e-05,95.0,116.13357072971174,94.40559768676758,0.0091810963104168,0.0118649044920857,0.0090549080042749,0.0301009088067775,Germany,DEU,,,,Linux-5.15.0-67-generic-x86_64-with-glibc2.35,3.10.14,2.3.5,64.0,AMD EPYC 7343 16-Core Processor,3.0,3 x NVIDIA RTX A6000,,,251.74826049804688,machine,N,1.0
2024-04-15T08:09:39,codecarbon,dffb76e7-f503-4c44-90bf-af16f56d6810,3854.665206670761,0.1154711003015189,2.995619440611556e-05,42.5,141.67073126458865,94.33244705200195,0.0455061275468932,0.1531484969631833,0.1009675761794059,0.2996222006894823,Germany,DEU,,,,Linux-5.4.0-139-generic-x86_64-with-glibc2.31,3.10.13,2.3.5,48.0,Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz,1.0,1 x NVIDIA GeForce RTX 2080 Ti,,,251.55319213867188,machine,N,1.0
2024-04-15T06:35:12,codecarbon,74b103a9-6c41-45ed-a4fa-25304140dd9b,77.49436926841736,0.0025182035516585,3.249530998744248e-05,95.0,131.88862532770605,94.40559768676758,0.0020449767606125,0.0024680041969986,0.0020212054142326,0.0065341863718439,Germany,DEU,,,,Linux-5.15.0-67-generic-x86_64-with-glibc2.35,3.10.14,2.3.5,64.0,AMD EPYC 7343 16-Core Processor,3.0,3 x NVIDIA RTX A6000,,,251.74826049804688,machine,N,1.0
2024-04-15T06:37:43,codecarbon,a67b854b-ec75-4a67-9b80-df2dd21f628e,80.27233386039734,0.0026290353897211,3.27514507587799e-05,95.0,135.61135005598905,94.40559768676758,0.0021182801958587,0.00261865737275,0.0020848331350728,0.0068217707036815,Germany,DEU,,,,Linux-5.15.0-67-generic-x86_64-with-glibc2.35,3.10.14,2.3.5,64.0,AMD EPYC 7343 16-Core Processor,3.0,3 x NVIDIA RTX A6000,,,251.74826049804688,machine,N,1.0
